abbreviation,location,location_name,population
US,US,US,341784857
AL,01,Alabama,5193088
AK,02,Alaska,737270
AZ,04,Arizona,7623818
AR,05,Arkansas,3114791
CA,06,California,39355309
CO,08,Colorado,6012561
CT,09,Connecticut,3688496
DE,10,Delaware,1059952
DC,11,District of Columbia,693645
FL,12,Florida,23462518
GA,13,Georgia,11302748
HI,15,Hawaii,1432820
ID,16,Idaho,2029733
IL,17,Illinois,12719141
IN,18,Indiana,6973333
IA,19,Iowa,3238387
KS,20,Kansas,2977220
KY,21,Kentucky,4606864
LA,22,Louisiana,4618189
ME,23,Maine,1414874
MD,24,Maryland,6265347
MA,25,Massachusetts,7154084
MI,26,Michigan,10127884
MN,27,Minnesota,5830405
MS,28,Mississippi,2954160
MO,29,Missouri,6270541
MT,30,Montana,1144694
NE,31,Nebraska,2018006
NV,32,Nevada,3282188
NH,33,New Hampshire,1415342
NJ,34,New Jersey,9548215
NM,35,New Mexico,2125498
NY,36,New York,20002427
NC,37,North Carolina,11197968
ND,38,North Dakota,799358
OH,39,Ohio,11900510
OK,40,Oklahoma,4123288
OR,41,Oregon,4273586
PA,42,Pennsylvania,13059432
RI,44,Rhode Island,1114521
SC,45,South Carolina,5570274
SD,46,South Dakota,935094
TN,47,Tennessee,7315076
TX,48,Texas,31709821
UT,49,Utah,3538904
VT,50,Vermont,644663
VA,51,Virginia,8880107
WA,53,Washington,8001020
WV,54,West Virginia,1766147
WI,55,Wisconsin,5972787
WY,56,Wyoming,588753
PR,72,Puerto Rico,3184835